id,id,url,title,genre,cag_rating,cag_release,tomatoScore,popcornScore,abs_squidScore,tScore_qcut,pScore_qcut,tScore_rnd,pScore_rnd,sScore_rnd,sScore_multi,sScore_Output,sScore,sScore_qcut
171,275,/m/pay_2_play_democracys_high_stakes,Pay 2 Play: Democracy's High Stakes,Comedy,NR,2014,80.0,94,14.0,3,4,8,9,1,12,toss up,14.0,good
172,278,/m/ultrasuede_in_search_of_halston,Ultrasuede: In Search of Halston,Documentary,PG-13,2012,35.0,40,5.0,0,0,3,4,5,0,no-one should,5.0,good
173,279,/m/1067987-casino,Casino,Drama,R,1995,80.0,93,13.0,3,4,8,9,1,12,toss up,13.0,good
174,282,/m/1010004-hound_of_the_baskervilles,The Hound of the Baskervilles,Art House & International,R,1959,94.0,72,22.0,4,3,9,7,2,12,toss up,-22.0,worst
175,285,/m/the_rundown,The Rundown,Action & Adventure,PG-13,2003,69.0,66,3.0,2,2,6,6,3,4,no-one should,-3.0,okay
176,286,/m/p2,P2,Drama,R,2007,33.0,36,3.0,0,0,3,3,3,0,no-one should,3.0,good
177,287,/m/1029042-henry_v,Henry V,Action & Adventure,PG-13,1989,100.0,89,11.0,4,4,1,8,1,16,universal,-11.0,bad
178,288,/m/guru,Guru,Art House & International,NR,2007,83.0,84,1.0,3,4,8,8,1,12,toss up,1.0,okay
179,289,/m/it_had_to_be_you_2016,It Had to Be You,Comedy,R,2016,60.0,42,18.0,1,0,6,4,1,0,no-one should,-18.0,worst
180,290,/m/prospect_2018,Prospect,Science Fiction & Fantasy,R,2018,89.0,69,20.0,3,2,8,6,2,6,no-one should,-20.0,worst
181,291,/m/farmingville,POV,Documentary,NR,2004,79.0,74,5.0,3,3,7,7,5,9,no-one should,-5.0,okay
182,294,/m/father_goose,Father Goose,Action & Adventure,NR,1964,79.0,86,7.0,3,4,7,8,7,12,toss up,7.0,good
183,295,/m/1012861-loverboy,Loverboy,Comedy,PG-13,1989,44.0,56,12.0,1,1,4,5,1,1,no-one should,12.0,good
184,296,/m/down_in_the_delta,Down in the Delta,Drama,PG-13,1998,79.0,70,9.0,3,2,7,7,9,6,no-one should,-9.0,bad
185,297,/m/heartbreak_kid,The Heartbreak Kid,Classics,PG,1972,92.0,73,19.0,4,3,9,7,1,12,toss up,-19.0,worst
186,298,/m/tehran_taboo,Tehran Taboo,Animation,NR,2018,97.0,81,16.0,4,3,9,8,1,12,toss up,-16.0,bad
187,299,/m/spiderwick_chronicles,The Spiderwick Chronicles,Action & Adventure,PG,2008,80.0,63,17.0,3,2,8,6,1,6,no-one should,-17.0,bad
