id,title,genre,cag_rating,cag_release,sScore,sScore_qcut
427,Hard Labor,Art House & International,NR,2015,-24.0,worst
428,Tight Spot,Classics,NR,1955,1.0,okay
429,Gleason,Documentary,R,2016,-6.0,okay
430,Private Romeo,Drama,NR,2012,15.0,good
431,Perlasca: The Courage of a Just Man (Perlasca. Un eroe italiano),Drama,NR,2005,5.0,good
432,I Want Candy,Comedy,R,2007,-18.0,worst
433,Lights Out (Simon Werner A Disparu...),Art House & International,NR,2010,-33.0,worst
434,The Corporation,Documentary,NR,2004,0.0,okay
435,American Beauty,Comedy,R,1999,6.0,good
436,November,Art House & International,NR,2018,-20.0,worst
437,Limelight,Classics,G,1952,-7.0,okay
438,Help!,Comedy,G,1965,-2.0,okay
439,Modern Life (Profils paysans: la vie moderne),Art House & International,PG,2008,-26.0,worst
440,Sense and Sensibility,Drama,PG,1995,-8.0,bad
441,Cats of Mirikitani,Documentary,NR,2006,-2.0,okay
442,Smokey and the Bandit Part 3,Action & Adventure,PG,1983,1.0,okay
443,99 Homes,Drama,R,2015,-15.0,bad
444,The French Connection,Action & Adventure,R,1971,-11.0,bad
445,Free the Nipple,Comedy,NR,2014,13.0,good
446,Vincere,Art House & International,NR,2010,-24.0,worst
447,Sommersby,Drama,PG-13,1993,-2.0,okay
448,The Woodsman,Drama,R,2004,-11.0,bad
449,11:14,Comedy,R,2003,-16.0,bad
450,Strangers in Good Company,Action & Adventure,PG,1991,-17.0,bad
451,Exorcist: The Version You've Never Seen,Horror,R,2000,0.0,okay
452,Career Opportunities,Comedy,PG-13,1991,-1.0,okay
453,Beau Travail,Art House & International,NR,2000,-2.0,okay
454,Unlocking the Cage,Documentary,NR,2016,-11.0,bad
