,url,title,genre,cag_rating,cag_release,tomatoScore,popcornScore
/m/1003076-brians_song,/m/1003076-brians_song,Brian's Song,"[""Classics"",""Drama"",""Television""]",G,1970,85,82
/m/suzy,/m/suzy,Suzy,"[""Action & Adventure"",""Comedy"",""Drama"",""Mystery & Suspense"",""Romance""]",NR,1936,null,65
/m/the_outsider_2006,/m/the_outsider_2006,The Outsider,"[""Documentary"",""Musical & Performing Arts"",""Special Interest"",""Television""]",NR,2006,65,43
/m/meotjin-haru,/m/meotjin-haru,Meotjin haru (My Dear Enemy),"[""Art House & International"",""Romance""]",NR,2008,100,85
/m/half_japanese_the_band_that_would_be_king,/m/half_japanese_the_band_that_would_be_king,Half Japanese: The Band that Would Be King,"[""Documentary"",""Musical & Performing Arts""]",NR,1993,100,92
/m/escape_from_bad_girls_dormitory,/m/escape_from_bad_girls_dormitory,Escape from Bad Girls Dormitory,"[""Action & Adventure"",""Comedy"",""Drama""]",R,1986,null,38
/m/unbound_captives,/m/unbound_captives,Unbound Captives,"[""Drama""]",NR,2013,null,92
/m/exit_humanity,/m/exit_humanity,Exit Humanity,"[""Drama"",""Horror"",""Western""]",NR,2013,null,40
/m/timecop,/m/timecop,Timecop,"[""Action & Adventure"",""Science Fiction & Fantasy""]",R,1994,45,36
/m/hey_boo_harper_lee_and_to_kill_a_mockingbird,/m/hey_boo_harper_lee_and_to_kill_a_mockingbird,"Hey, Boo: Harper Lee and 'To Kill a Mockingbird'","[""Documentary"",""Special Interest""]",NR,2011,77,81
/m/1053321-adventures_of_prince_achmed,/m/1053321-adventures_of_prince_achmed,The Adventures of Prince Achmed,"[""Animation"",""Art House & International"",""Kids & Family"",""Science Fiction & Fantasy""]",NR,1926,100,90
/m/a_song_for_martin,/m/a_song_for_martin,A Song for Martin,"[""Art House & International"",""Drama""]",PG-13,2002,85,84
/m/delirium_photos_of_gioia,/m/delirium_photos_of_gioia,Le Foto di Gioia (Delirium: Photo of Gioia) (Photos of Joy),"[""Art House & International"",""Horror"",""Mystery & Suspense""]",NR,1987,null,32
/m/zeyda-and-the-hitman-running-with-the-hitman,/m/zeyda-and-the-hitman-running-with-the-hitman,Zeyda and the Hitman (Running with the Hitman),"[""Comedy""]",NR,2004,null,30
/m/irreplaceable_you,/m/irreplaceable_you,Irreplaceable You,"[""Comedy"",""Drama"",""Romance""]",NR,2018,32,58
/m/lawless_breed,/m/lawless_breed,The Lawless Breed,"[""Action & Adventure"",""Classics"",""Western""]",NR,1953,null,57
/m/cable_guy,/m/cable_guy,The Cable Guy,"[""Comedy""]",PG-13,1996,53,51
/m/children_of_invention,/m/children_of_invention,Children Of Invention,"[""Drama""]",NR,2010,79,60
/m/1066292-undead,/m/1066292-undead,The Undead,"[""Classics"",""Drama"",""Horror"",""Mystery & Suspense"",""Science Fiction & Fantasy""]",NR,1957,null,19
/m/respiro,/m/respiro,Respiro,"[""Art House & International"",""Comedy"",""Drama""]",PG-13,2003,76,86
/m/the_chateau,/m/the_chateau,The Chateau,"[""Comedy"",""Drama""]",R,2002,50,31
/m/linda_ronstadt_the_sound_of_my_voice,/m/linda_ronstadt_the_sound_of_my_voice,Linda Ronstadt: The Sound of My Voice,"[""Documentary""]",PG-13,2019,88,98
/m/wrong_turn,/m/wrong_turn,Wrong Turn,"[""Horror"",""Mystery & Suspense""]",R,2003,40,54
/m/eating_raoul,/m/eating_raoul,Eating Raoul,"[""Comedy"",""Cult Movies""]",R,1982,86,71
/m/teacher_of_the_year_2014,/m/teacher_of_the_year_2014,Teacher of the Year,"[""Comedy""]",NR,2015,100,60
/m/rise_of_the_guardians_2012,/m/rise_of_the_guardians_2012,Rise of the Guardians,"[""Action & Adventure"",""Animation"",""Kids & Family""]",PG,2012,74,80
/m/juncture,/m/juncture,Juncture,"[""Action & Adventure"",""Mystery & Suspense""]",R,2007,null,16
/m/danger_diabolik,/m/danger_diabolik,Danger: Diabolik,"[""Action & Adventure"",""Classics"",""Mystery & Suspense"",""Special Interest""]",PG-13,1968,70,72
/m/motor-psycho,/m/motor-psycho,Motor Psycho,"[""Action & Adventure"",""Drama"",""Horror"",""Mystery & Suspense""]",R,1965,null,60
/m/1059003-true_crime,/m/1059003-true_crime,True Crime,"[""Mystery & Suspense""]",R,1995,null,44
/m/baby_peggy_the_elephant_in_the_room,/m/baby_peggy_the_elephant_in_the_room,Baby Peggy: The Elephant in the Room,"[""Documentary"",""Special Interest""]",NR,2012,100,75
/m/clouds_of_may,/m/clouds_of_may,Clouds of May (Mayis Sikintisi),"[""Art House & International"",""Drama""]",NR,1999,null,83
/m/1092437-in_too_deep,/m/1092437-in_too_deep,In Too Deep,"[""Action & Adventure"",""Drama"",""Mystery & Suspense""]",R,1999,36,75
/m/10010084-wherever_you_are,/m/10010084-wherever_you_are,Wherever You Are (Lifelines),"[""Comedy"",""Drama""]",NR,2008,63,100
/m/street-fighter-alpha-the-movie,/m/street-fighter-alpha-the-movie,Street Fighter Zero (Street Fighter Alpha),"[""Action & Adventure"",""Animation"",""Anime & Manga"",""Art House & International""]",NR,2000,null,56
/m/bigger_than_life,/m/bigger_than_life,Bigger Than Life,"[""Drama""]",NR,1956,90,85
/m/bloody_pit_of_horror,/m/bloody_pit_of_horror,Il Boia scarlatto (Bloody Pit of Horror)(The Scarlet Hangman)(A Tale of Torture),"[""Art House & International"",""Horror""]",NR,1965,null,22
/m/rich_girl,/m/rich_girl,Rich Girl,"[""Comedy"",""Drama""]",R,1991,null,100
/m/miss_julie_2014,/m/miss_julie_2014,Miss Julie,"[""Drama""]",PG-13,2014,51,25
